gesture_id,tap,app_name,origin_first_finger,pressure_first_finger,time_stamp_first,size_first_finger,x_coordinate_first_finger,y_coordinate_first_finger,distance,iskid
326,Tap,com.google.android.youtube,True,25,1504191603810,2.0,1204,601,0.0,1
37,Tap,,False,24,1504197806680,1.0,750,1461,0.0,1
93,Tap,,False,68,1504808027131,7.0,464,2121,0.0,0
54,Unidentified,com.google.android.apps.photos,True,44,1507562416323,4.0,1348,1337,0.0,0
214,Tap,com.google.android.apps.magazines,False,37,1499124047843,3.0,521,1613,0.0,1
197,Tap,com.mehequanna.gestureplayground,False,44,1500220042270,3.0,272,1421,0.0,0
5,Tap,com.google.android.googlequicksearchbox,True,28,1500218769509,2.0,222,1251,0.0,1
241,Swipe,,True,87,1504798276920,8.0,606,1581,0.0,1
196,Tap,,False,38,1507563880851,2.0,601,1189,0.0,0
130,Unidentified,,False,52,1499645340680,5.0,501,1171,0.0,1
323,Unidentified,,True,85,1504190377669,7.0,1199,916,0.0,1
263,Swipe,,False,29,1504720443911,2.0,180,211,0.0,0
257,Swipe,com.google.android.apps.photos,True,34,1504191457074,2.0,988,1397,0.0,1
268,Swipe,com.google.android.apps.photos,True,59,1504191471169,6.0,697,1114,0.0,1
174,Swipe,com.google.android.apps.photos,True,70,1504537381636,7.0,1134,1828,0.0,0
292,Tap,com.google.android.youtube,True,51,1504195771045,4.0,561,2079,0.0,1
390,Tap,com.touchlogger,False,60,1504203107381,5.0,505,2013,0.0,1
24,Swipe,com.google.android.apps.photos,True,75,1500676150885,7.0,500,1773,0.0,1
74,Swipe,com.mehequanna.gestureplayground,False,45,1499818100652,3.0,542,1234,0.0,1
242,Tap,,False,94,1499125442850,10.0,326,909,0.0,1
145,Tap,,False,61,1507563826177,6.0,683,1522,0.0,0
332,Tap,com.google.android.youtube,True,34,1504805506652,4.0,733,2248,0.0,0
224,Swipe,com.google.android.apps.photos,True,54,1504190167277,4.0,700,1604,0.0,1
10,Swipe,com.google.android.apps.photos,True,50,1504208265130,4.0,1205,1277,0.0,1
201,Tap,com.google.android.googlequicksearchbox,True,46,1504807226514,3.0,736,2274,0.0,0
40,Swipe,com.google.android.apps.photos,True,32,1507565716961,4.0,464,1752,0.0,0
446,Tap,com.google.android.youtube,True,52,1504198322531,4.0,1142,2163,0.0,1
41,Tap,,False,28,1499645177057,4.0,166,1592,0.0,1
166,Tap,com.google.android.apps.photos,True,103,1501962457414,14.0,493,662,0.0,0
168,Swipe,com.google.android.apps.photos,True,65,1499125302183,6.0,924,1579,0.0,1
288,Swipe,,False,45,1499124923580,4.0,104,1978,0.0,1
284,Tap,,True,31,1504542519373,2.0,879,372,0.0,1
269,Tap,,False,74,1499644670807,6.0,248,760,0.0,0
